model_version,split,x-vel_mse,y-vel_mse,pressure_mse,turbulent_viscosity_mse,x-vel_mse_norm,y-vel_mse_norm,pressure_mse_norm,turbulent_viscosity_mse_norm
A_v1_ep0011,test,3.2786229328002974,1.968014426193648,35519.673003607364,3.4521149042842245e-07,0.0036497261479324,0.0019875864608392,0.0044723431724858,0.0419809378071052
A_v1_ep0011,test_ood,7.498800055632848,3.598786981285821,128519.64757969222,5.357393545235087e-07,0.0072279223889534,0.0035410510732867,0.0127392289601317,0.0603183182516912
A_v1_ep0011,test_bump,40.15003967285156,3.0441455841064453,33593.00390625,2.199849632233964e-06,0.0325291059527156,0.003558645685592,0.0091578826373778,0.4034493112744873
A_v1_ep0018,test,2.837367534504902,1.8558733675766688,31868.62145738381,3.075498204107477e-07,0.003158525604874,0.0018743301519196,0.0040126329872741,0.0374009273770887
A_v1_ep0018,test_ood,7.490797885394234,3.637867046451753,113099.28898100958,4.932984459287618e-07,0.0072202092795227,0.0035795041707942,0.0112107196424094,0.0555399419575216
A_v1_ep0018,test_bump,40.13472366333008,2.6841683387756348,31401.443359375,2.1280650344124297e-06,0.032516691756959,0.0031378267214136,0.0085604323590797,0.3902840360873492
A_v2_ep0026,test,3.1407785044912213,2.1241245866518867,41456.84655759684,2.5195278602304705e-07,0.003496279281776,0.0021452491472487,0.0052199029150924,0.0306398093158302
A_v2_ep0026,test_ood,7.792604363368225,4.846215544193701,121824.5698402528,4.446565358356254e-07,0.00751111366197,0.0047684669427182,0.0120755940231023,0.0500634015678811
A_v2_ep0026,test_bump,39.65879440307617,2.583381414413452,30751.953125,2.116275027219672e-06,0.0321311060715198,0.0030200055367752,0.0083833744614443,0.3881218567107638
A_v2_ep0026,test,3.140778504491668,2.1241245866514777,41456.84655852192,2.519527860230438e-07,0.0034962792817765,0.0021452491472482,0.0052199029152089,0.0306398093158298
A_v2_ep0026,test_ood,7.792604363330807,4.846215544189018,121824.56989814702,4.4465653583574294e-07,0.0075111136619339,0.0047684669427136,0.0120755940288409,0.0500634015678943
A_v2_ep0026,test_bump,39.65879440307617,2.583381414413452,30751.953125,2.116275027219672e-06,0.0321311060715198,0.0030200055367752,0.0083833744614443,0.3881218567107638
A_v2_ep0026,test,3.140778504492273,2.124124586651567,41456.84655852534,2.5195278602304493e-07,0.0034962792817772,0.0021452491472483,0.0052199029152093,0.03063980931583
A_v2_ep0026,test_ood,7.7926043637627584,4.846215544166614,121824.56987739402,4.44656535835756e-07,0.0075111136623503,0.0047684669426916,0.0120755940267838,0.0500634015678958
A_v2_ep0026,test_bump,39.65879440307617,2.583381414413452,30751.953125,2.116275027219672e-06,0.0321311060715198,0.0030200055367752,0.0083833744614443,0.3881218567107638
A_v2_ep0026,test,3.14077850449179,2.12412458665163,41456.84655852657,2.5195278602304424e-07,0.0034962792817767,0.0021452491472484,0.0052199029152095,0.0306398093158299
A_v2_ep0026,test_ood,7.792604362373401,4.846215544222686,121824.56989381203,4.446565358358215e-07,0.0075111136610111,0.0047684669427467,0.0120755940284112,0.0500634015679031
A_v2_ep0026,test_bump,39.65879440307617,2.583381414413452,30751.953125,2.116275027219672e-06,0.0321311060715198,0.0030200055367752,0.0083833744614443,0.3881218567107638
A_v1_ep0012,test,3.113057661693237,1.8814568509347969,30471.387015733708,3.331300563992149e-07,0.0034654207515711,0.001900168064725,0.0038367047934858,0.0405117227182002
A_v1_ep0012,test_ood,7.191308847172431,3.5678664846417036,117723.48467339439,5.179317286179247e-07,0.006931538624411286,0.0035106266390544814,0.011669082926087235,0.05831337678601266
